N,raw,mode 3,mode 5,mode 7,mode 9,mode 11,"mode no occl 3",mode no occl 5,mode no occl 7,mode no occl 9,mode no occl 11
3,42.51,35.21,31.74,30.89,30.75,30.90,30.03,25.93,24.55,24.12,24.00
5,22.80,19.89,18.15,17.57,17.52,17.72,19.73,19.67,20.07,20.67,21.33
7,19.72,18.44,17.48,16.99,17.15,17.42,18.96,19.28,19.89,20.59,21.33
9,20.04,19.34,18.70,18.42,18.38,18.67,19.99,20.18,20.68,21.24,21.87
11,21.36,20.98,20.52,20.29,20.26,20.34,21.45,21.58,21.93,22.43,23.00
